Name,C,N,P,I,Cheated?,Records (N),Categories (N),Records (P),Categories (P),prodN,prodP
easone,497,5,3,29,,I,,I,,,
easone,292,6,5,43,,,(CIN)*,,(CP)*,,
easone,298,6,5,41,,,(CIN)*,,(CIP)*,,
easone,326,6,5,40,,,(CI)*,,(CI)*,,
easone,327,6,5,38,,,(CI)*,,(CI)*,,
easone,351,6,4,35,,,(CI)*,,"(CI),(CP)*",,
easone,357,5,3,34,,,"(CI),(CN)*",,"(CI),(CP)*",,
easone,364,5,3,33,,,(CI)*,,(CI)*,,
easone,370,6,4,32,,,(CI)*,,(CI)*,,
easone,379,5,3,32,,,(CIN)*,,(CIP)*,,
easone,527,4,3,35,,,N(CI)*,,,,
easone,548,4,3,34,,NI,,,,,
easone,573,5,2,33,,,,P,,,PX
easone,233,8,6,41,,C,,C,,,
easone,258,7,5,35,Yes,,c(CI)*,,"c(CI),c(CP)*",,
easone,278,6,6,44,,,(CN)*,,,,
eidyia,374,9,9,89,,,,,,,
eidyia,451,10,9,87,Yes,,,,,,
Hersmunch,451,4,4,42,,NC,,,,,
Hersmunch,455,4,4,40,,,N(CI)*,,,NX,
Hersmunch,4211,6,6,33,,,,,,,
Hersmunch,235,7,7,56,Yes,,c(CN)*,,,,
Hersmunch,235,7,7,57,,,(CN)*,,,,
Hersmunch,235,8,8,53,,,,,,,
killerbee13,1387,8,8,76,Yes,,,,,,
mr_puzzel,1298,5,5,41,,,,,,,
mr_puzzel,1339,4,4,42,,,N,,,,
Untellect,486,4,4,39,,,N(CI)*,,,,
